"Component","Status","ReactLines","NextJsLines","LineDiff","HasUseClient","HasIsMounted","HasLoadingGuard","HasNextLink","HasNextNav","Issues"
"invoices/InvoiceDashboard.jsx","??????","400","428","28","True","True","True","False","False","Not using Next.js Link"
"invoices/Invoice.jsx","???","2875","2895","20","True","True","True","False","False",""
"employees/EmployeeList.jsx","???","1401","1381","-20","True","True","True","True","True",""
"employees/EmployeeDetail.jsx","??????","658","667","9","True","True","False","True","True","Missing loading guard"
"employees/EmployeeEdit.jsx","??????","311","321","10","True","True","False","True","True","Missing loading guard"
"employees/EmployeeForm.jsx","???","1111","1115","4","True","True","True","True","True",""
"employees/EmployeeSettings.jsx","???","409","434","25","True","True","True","False","True",""
"clients/ClientsList.jsx","???","441","448","7","True","True","True","True","True",""
"clients/ClientDetails.jsx","???","523","547","24","True","True","True","True","True",""
"clients/ClientEdit.jsx","???","96","116","20","True","True","True","True","True",""
"clients/ClientForm.jsx","???","712","734","22","True","True","True","False","True",""
"vendors/VendorList.jsx","???","399","413","14","True","True","True","True","True",""
"vendors/VendorDetail.jsx","???","295","319","24","True","True","True","True","True",""
"vendors/VendorEdit.jsx","???","98","118","20","True","True","True","True","True",""
"vendors/VendorForm.jsx","???","737","744","7","True","True","True","False","True",""
"timesheets/TimesheetSummary.jsx","???","1624","1634","10","True","True","True","True","True",""
"timesheets/EmployeeTimesheet.jsx","???","670","683","13","True","True","True","True","True",""
"timesheets/TimesheetApproval.jsx","???","799","819","20","True","True","True","False","False",""
"dashboard/ModernDashboard.jsx","??????","641","641","0","True","True","False","False","False","Missing loading guard"
"dashboard/Dashboard.jsx","??????","37","40","3","True","False","False","False","True","Missing isMounted, Missing loading guard"
"dashboard/EmployeeDashboard.jsx","??????","729","693","-36","True","True","False","True","True","Missing loading guard"
"leave/LeaveManagement.jsx","??????","1106","1082","-24","True","True","False","False","False","Missing loading guard"
"leave/LeaveApprovals.jsx","??????","453","465","12","True","True","False","False","False","Missing loading guard"
"reports/ReportsDashboard.jsx","??????","1541","1573","32","True","True","False","False","False","Missing loading guard"
